id,Торг_точка_чистый_адрес
1,"п.Глубокий, ул.Артёма 44"
2,"Буденного 161"
3,"Ип Алиева Т.М. п.Газетный 39"
4,"ул Гвардейская 34-а"
5,"Ростов на Дону ул Калинина 10-А"
6,"Ростовская обл. г.Морозовск ул. Ворошилова 364/2"
7,"Ворошиловский 40"
8,"до 12часов"
9,Ж
10,"г Азов центр рынок"
11,"г.Азов, центр. рынок"
12,"г.Ростов н/Д, ул.Штахановского, 12"
13,"г Ростов-на-Дону Соборный 72/Малюгина"
14,"г.Ростов-на-Дону, Соборный 72/Малюгина"
15,"г.Ростов н/Д, ул.Народного Ополчения, 50/18"
16,"г Батайск Авиагородок"
17,"г.Батайск Авиагородок"
18,"г.Батайск,Авиагородок"
19,"Г.Батайск, Торговое кольцо 31, пав."Сувенир""
20,"х.Урывский, ул.Российская, 50"
21,"р-к Привоз"
22,"Азовский р-н, с. Маргаритово, ул.Луговая, 1"
23,"г. Ростов-на-Дону ул. Ц. Кунникова 8б"
24,"г Аксай ул Советская 6"
25,"344002, г. Ростов-на-Дону, пр. Буденовский, д.3/3"
26,"г.Батайск ул.Рабочая 88"
27,"г.Таганрог, ул. Александровская, 160а"
28,"Ростовская обл Белая Калитва ул Атаева 9а"
29,"Ростовская обл. Белая Калитва ул. Атаева 9а"
30,"Базарная 72 пав №6 (Ц рынок)"
31,"Базарная 72 пав.№6 (Ц. рынок)"
32,"344000 Россия г Ростов-на-Дону ул Горького 28/4"
33,"344000, Россия, г. Ростов-на-Дону, ул. Горького 28/4"
34,"г. Ростов-на-Дону, ул. Лермонтовская,102"
35,"г.Ростов н/Д, Верхояновский 11"
36,"г.Ростов н/Д, Черепахина 94/25"
37,"Ростовская обл г Морозовск ул Ворошилова 364/2"
38,"г.Донецк, ул.Ленинградская, 38"
39,"г.Донецк, ул.Молодёжная, 1"
40,"п.Тарасовский, ул.Кирова, 24"
41,"Куйбышево, ул.Пушкинская, 36а"
42,"п.Тарасовский, Ц.Рынок"
43,"р-к Днепровский"
44,"г Батайск ул Горького 133 рынок лар № 285"
45,"г.Новочеркасск ул Калинина 69"
46,"пр Ленина 22 ориентир "21 век""
47,"пр. Ленина 22 ориентир "21 век""
48,"пр. Ленина 22, ориентир "21 век""
49,"г. Ростов-на-Дону, ул. Жмайлова 21 а"
50,"г.Новочеркасск, ул.Ларина/Буденновская"
51,"344004г.Ростов -на-Дону,ул.Немировича-Данченко 78/6"
52,"г.Шахты Комуунистический/Советская 74"
53,"Азовский р-он., п. Пешково, ул.К.Маркса 35А"
54,"г Новочеркас ул Московская 2 магазин Мир"
55,"г.Новочеркас ул.Московская 2 магазин Мир"
56,"г.Новочеркас, ул.Московская 2,магазин Мир"
57,"классик № 883"
58,"Неклиновский р-н, с.Покровское, ул.Привокзальная, 4"
59,"Каменск-Шахтинский,ул.Щаденко 104 м-н "Элегия""
60,"Каменск -Шахтинский,ул. Советская 35 а"
61,"Рост.обл. г.Каменск-Шахтинский,ул.Советская 35 а"
62,"х.Таврический, ул.Мира, 30б"
63,"с. Отрадное, ул.Ленина, 43 м-н "Весна""
64,"Азовский р-он. п. Овощной, ул. Полевая 203"
65,"х.Плешаков, ул.Московская, 15"
66,"Г.Батайск Торговое кольцо 31 пав."Сувенир""
67,"г.Донецк, пер.Панфилова, 71"
68,"Врубовая 40"
69,"г.Каменск-Шахтинский, ул.Ленина, 1А,магазин "Спутник""
70,"п.Глубокий, ул.Артёма 141"
71,"Нансена 144 а"
72,"х.Некрасова Балка, ул.Светлая, 19"
73,"Ленина, 85, м-н "Суфле""
74,"Азов, ул.Кваша 10/Васильева 30"
75,"с.Троицкое, ул.Ленина 40а"
76,"г Таганрог ул Осипенко 48"
77,"г.Таганрог ул.Осипенко 48"
78,"г.Таганрог, ул.Осипенко,48"
79,"Азовский р-н, г.Азов, СНТ "Мичуринец-3", №205"
80,"Азов, ул.Победы 11а"
81,"347510,Ростовская область пос. Орловский, пер. Первомайский, 97"
82,"п.Ковалёвка, конечная остановка, м-н Продукты"
83,"Матвеев-Курган, ул.Шевченко, 73"
84,"с.В-Вознесенка, ул.Васильева, 28"
85,"г Батайск Луначарского 188 (р-к Заря)"
86,"г.Батайск Луначарского 188 (р-к Заря)"
87,"г.Батайск,Луначарского 188 (р-к Заря)"
88,"с.Пешково, ул.Луначарского, 102"
89,"Азовский р-он. с. Кулешовка, ул.Пролетарская 41а"
90,"М.-Курганский р-н, с.Каменно-Андрианово, ул.Центральная, 13"
91,"Донецк, ул.Подтёлкова 89"
92,"Азов, пер.Черноморский, рынок"
93,"Матвеев Курган, ул.Комсомольская, 60"
94,"г Аксай ул Ленина 16а"
95,"г.Аксай ул.Ленина 16а"
96,"г.Аксай, ул.Ленина,16а"
97,"р-к Северный м 43"
98,"р-к Северный м.43"
99,"р-к Северный, м.43"
100,"р-к Шайба"
101,"г Ростов-на-Дону ул Орбитальная 66 ""
102,"г. Ростов-на-Дону ул. Орбитальная 66 ""
103,"г. Ростов-на-Дону, ул. Орбитальная, 66 ""
104,"п.Сосны, ул.Кирова, 12"
105,"г Каменск-Шахтинский ул Ворошилова 161е м-н Уражай"
106,"г.Каменск-Шахтинский ул. Ворошилова 161е м-н Уражай"
107,"г.Каменск-Шахтинский,ул. Ворошилова 161е м-н Уражай"
108,"г.Новошахтинск ул.Советская 20"
109,"г.Новошахтинск, ул.Советская 20"
110,"Рост обл г Новочеркаск Платовский 77 азовский р-к павильон Виктория"
111,"Рост обл. г.Новочеркаск Платовский 77 азовский р-к павильон Виктория"
112,"Рост,обл. г.Новочеркаск,Платовский 77,азовский р-к павильон Виктория"
113,"344064, г. Ростов-на-Дону, 2-я Пятилетка, 12"
114,"344064, г. Ростов-на-Дону, ул. Немировича-Данченко, 78/3"
115,"г. Батайск, СЖМ 3/1, магазин "Олеся""
116,"Неклиновский р-н, с.Самбек, ул.Центральная, 10б"
117,Малокирсановка
118,"г Каменск-Шахтинский ул Ворошилова 14/16 м-н продукты"
119,"г.Каменск-Шахтинский,ул. Ворошилова 14/16 м-н продукты"
120,"Азов, пер. Литейный, 7"
121,"Краснодарский край,станица Кущевская, пер. Первомайский,101"
122,"ул.Туполева, 7"
123,"Донецк, ул. Водопроводная, 18"
124,"Новочеркасск, Войкова, 72"
125,"г.Таганрог, Мариупольское шоссе 27/1 м-н Одиссей"
126,"353741 Краснодарский край ст Ленинградская ул Светлая 66"
127,"353741,Краснодарский край,ст.Ленинградская,ул.Светлая,66"
128,"346050Рост обл п Тарасовский улОстровско 55"
129,"346050Рост.обл.п.Тарасовский улОстровско 55"
130,"346050Рост.обл.п.Тарасовский,улОстровско 55"
131,"с.Приморка, ул. Ленина 143 б"
132,"с.Весёло-Вознесенка, ул.Школьная, 1г"
133,"г Шахты ул г Шахты ул Дачная 2 а"
134,"г. Шахты ул. г. Шахты ул. Дачная 2 а"
135,"г.Ростов н/Д, ул.Мечникова, 79"
136,"х.Россошь, ул.Красноармейская, 34"
137,"М.Курган, ул.Комсомольская, 127"
138,"Каменск-Шахтинский пер Коммунистический 92"
139,"Каменск-Шахтинский пер.Коммунистический 92"
140,"Каменск-Шахтинский, пер.Коммунистический 92"
141,"х.Каменногорье, ул.Спортивная, 8б"
142,"Б.Калитва, ул.Калинина 8"
143,"п.Тарасовский, ул.Степная, 83"
144,"Азов, ул.Московская, 157"
145,"Таганрог, ул.Адмирала Крюйса, 23"
146,"346400Ростовская область г Новочеркаск ул Спортивная 23"
147,"346400Ростовская область,г.Новочеркаск,ул. Спортивная 23"
148,"Аксай, ул.Гулаева, 42"
149,"с.Займо-Обрыв, ул.Будённого, 49а"
150,"г. Ейск, Краснодарский край, ул. Мичурина, 4"
151,"г.Ростов н/Д, ул.Ладная, 8"
152,"Б.Неклиновка, Памятный 5"
153,"г Азов рынок"
154,"Камышеваха, ул.Риволи, 1"
155,"г Ростов-на-Дону пр Коммунистический 27"
156,"г.Ростов-на-Дону пр.Коммунистический 27"
157,"г.Ростов-на-Дону,пр.Коммунистический,27,"
158,"г.Керчь, ул. Шлагбаумская 49/2"
159,"г.Новочеркасск, ул.Тополиная, 73 (м-н Дионис)"
160,"ст. Митякинская, ул.Менжинского, 38"
161,"пос.Каменно-Тузловка, Социалистическая 19а"
162,"с.М.Неклиновка, ул.Заречная, 71"
163,"347540 Ростовская обл г Пролетарск пр 50 лет Октября 82/Первомайская"
164,"347540 Ростовская обл.г.Пролетарск пр.50 лет Октября 82/Первомайская"
165,"347540 Ростовская обл.г.Пролетарск, пр.50 лет Октября 82/Первомайская"
166,"г.Новочеркасск, ул.Фрунзе/Комитетская"
167,"347800 г Каменск-Шахтинский ул Ленина 79"
168,"347800 г.Каменск-Шахтинский ул. Ленина 79"
169,"347800 г.Каменск-Шахтинский,ул. Ленина 79"
170,"р-к Сельмаш"
171,"г. Ростов-на-Дону, ул. Чехова, 51"
172,Таганрог
173,"Матвеево-Курганский р-н, с.Анастасиевка, Ленина 64"
174,"с.Марфинка, ул.Центральная, 99"
175,"с.Покровское, ул.Привокзальная 52а"
176,"с.Рясное, ул.Комбайностроилей, 56а"
177,"Ростов н/Д, ул.Каскадная, 67"
178,"г Ростов-на-Дону Нахичевань"
179,"г.Ростов-на-Дону Нахичевань"
180,"г.Ростов-на-Дону,Нахичевань"
181,"г.Таганрог, Мариупольское шоссе, 21/2 "Кристалл""
182,"347803 г Каменск-Шахтинский ул Монтажников д 43б"
183,"347803, г. Каменск-Шахтинский, ул Монтажников, д. 43б"
184,"п.Тарасовский, ул.Мира, 96"
185,"г.Таганрог,пер.Гоголевский,29а"
186,"х.Груцынов, ул. Студенческая, 11"
187,"Очаковская ,87"
188,"Очаковская 87"
189,"п.Овощной, пер Цветочный 8"
190,"Ростовская обл пос Глубокий ул Вокзальная 187"
191,"Ростовская обл. пос. Глубокий ул. Вокзальная 187"
192,"с.Кулешовка, пер. Кулагина, 6а"
